Date,SP500 (Percent change from a year ago),10Y Rate - 3M TBill ,10Y Rate (Percent change from a year ago,3M TBill (Percent Change from a year ago),3M TBill - FF ,6M TBill - FF,1Y Rate - FF,5Y Rate - FF,10Y Rate - FF,Composite Leading Indicator
01-01-1963,-0.058057044,0.92,-6.12745,6.98529,-0.01,0.04,0.15,0.69,0.94,99.9314
01-02-1963,-0.061236115,1,-3.69458,6.95971,-0.08,-0.02,0.01,0.66,0.92,100.0743
01-03-1963,-0.0657277,1.04,-0.25381,6.25,-0.09,-0.03,0.05,0.71,0.95,100.1901
01-04-1963,0.010433505,1.07,3.38542,6.22711,0,0.08,0.25,0.87,1.1,100.272
01-05-1963,0.113510081,1,1.55039,8.92193,-0.07,0.01,0.12,0.72,0.93,100.3078
01-06-1963,0.26029121,1,2.04604,9.52381,0,0.09,0.21,0.83,1.01,100.2958
01-07-1963,0.212392487,0.84,0.49875,8.90411,0.16,0.29,0.51,0.93,1.05,100.2538
01-08-1963,0.21291866,0.68,0.50251,17.7305,-0.17,-0.05,0.05,0.41,0.52,100.2079
01-09-1963,0.256034483,0.7,2.51256,21.58273,-0.1,0.02,0.11,0.49,0.61,100.1799
01-10-1963,0.300160228,0.66,4.3257,25.91241,-0.05,0.08,0.14,0.47,0.61,100.1655
01-11-1963,0.209526982,0.6,5.10204,24.38163,0.04,0.17,0.27,0.54,0.65,100.162
01-12-1963,0.184067688,0.61,6.99482,22.64808,0.14,0.28,0.48,0.72,0.8,100.1847
01-01-1964,0.175069167,0.65,8.61619,20.9622,0.04,0.16,0.3,0.58,0.68,100.2512
01-02-1964,0.173998786,0.62,6.13811,20.89041,0.05,0.19,0.31,0.56,0.67,100.3511
01-03-1964,0.199939089,0.68,7.37913,22.49135,0.11,0.29,0.52,0.75,0.83,100.4608
01-04-1964,0.162594532,0.76,6.54912,19.65517,0,0.19,0.45,0.7,0.78,100.5673
01-05-1964,0.150841175,0.72,6.87023,18.77133,-0.02,0.1,0.35,0.56,0.71,100.6606
01-06-1964,0.144487234,0.69,4.51128,16.38796,-0.02,0.06,0.33,0.52,0.67,100.7393
01-07-1964,0.20486463,0.73,3.72208,8.80503,0.04,0.14,0.33,0.64,0.8,100.8021
01-08-1964,0.155255001,0.69,4.75,5.42169,0,0.11,0.24,0.55,0.69,100.8428
01-09-1964,0.144955388,0.67,3.18627,4.43787,0.08,0.23,0.41,0.65,0.78,100.8809
01-10-1964,0.161851294,0.62,2.19512,3.47826,0.21,0.36,0.57,0.78,0.9,100.9241
01-11-1964,0.17653539,0.51,0.72816,3.40909,0.12,0.29,0.39,0.53,0.64,100.9881
01-12-1964,0.131994068,0.34,1.21065,9.09091,-0.01,0.1,0.22,0.28,0.37,101.0649
01-01-1965,0.126487901,0.38,0.72115,8.23864,-0.09,0.04,0.09,0.25,0.34,101.1328
01-02-1965,0.120945859,0.28,1.44578,11.33144,-0.05,0.02,0.07,0.19,0.25,101.1713
01-03-1965,0.101903553,0.28,-0.23697,11.01695,-0.11,-0.04,0.02,0.11,0.17,101.1711
01-04-1965,0.100450338,0.27,-0.70922,13.25648,-0.16,-0.1,-0.05,0.06,0.12,101.1285
01-05-1965,0.10604559,0.32,0.2381,11.78161,-0.21,-0.15,-0.05,0.06,0.13,101.0623
01-06-1965,0.059820538,0.41,1.19904,9.1954,-0.24,-0.18,-0.03,0.13,0.2,101.0006
01-07-1965,0.020307618,0.36,0.7177,10.98266,-0.25,-0.19,-0.09,0.08,0.13,100.9791
01-08-1965,0.054756098,0.41,1.43198,9.71429,-0.28,-0.17,-0.05,0.09,0.13,101.0156
01-09-1965,0.071574152,0.37,1.66271,11.04816,-0.09,0.06,0.25,0.29,0.33,101.1165
01-10-1965,0.077077195,0.32,3.81862,12.88515,-0.05,0.11,0.24,0.29,0.3,101.2707
01-11-1965,0.078534644,0.36,7.22892,12.36264,-0.01,0.14,0.28,0.37,0.36,101.4524
01-12-1965,0.092544069,0.24,10.28708,14.0625,0.06,0.23,0.45,0.45,0.35,101.6268
01-01-1966,0.083604273,0.02,10.02387,20.47244,0.17,0.29,0.55,0.54,0.29,101.751
01-02-1966,0.068472622,0.18,14.48931,18.32061,0.05,0.22,0.35,0.39,0.24,101.7798
01-03-1966,0.023609352,0.28,16.62708,16.79389,-0.06,0.13,0.33,0.28,0.23,101.69
01-04-1966,0.041264067,0.13,13.09524,17.55725,-0.05,0.07,0.26,0.19,0.11,101.4824
01-05-1966,-0.028001792,0.14,13.53919,19.28021,-0.26,-0.09,0.1,0.05,-0.06,101.1797
01-06-1966,0.011994356,0.31,13.74408,18.42105,-0.67,-0.52,-0.17,-0.16,-0.32,100.8377
01-07-1966,0.010952774,0.22,18.76485,25,-0.5,-0.37,0,-0.01,-0.16,100.4845
01-08-1966,-0.067522257,0.26,22.11765,29.16667,-0.57,-0.26,0.1,0.06,-0.22,100.1386
01-09-1966,-0.129447304,-0.19,21.96262,36.9898,-0.03,0.39,0.51,0.18,-0.13,99.80906
01-10-1966,-0.156034577,-0.34,15.4023,32.75434,-0.18,0.09,0.12,-0.2,-0.45,99.49464
01-11-1966,-0.121106891,-0.16,15.73034,30.07335,-0.44,-0.22,-0.21,-0.39,-0.59,99.20743
01-12-1966,-0.113376213,-0.12,5.63991,13.24201,-0.44,-0.33,-0.19,-0.39,-0.55,98.96638
01-01-1967,-0.095049293,-0.14,-0.43384,2.83224,-0.22,-0.2,-0.12,-0.17,-0.29,98.79313
01-02-1967,-0.057503506,0.07,-4.35685,-1.93548,-0.44,-0.41,-0.27,-0.25,-0.36,98.70366
01-03-1967,0.006075608,0.28,-7.33198,-7.18954,-0.27,-0.31,-0.15,0.04,0.04,98.72794
01-04-1967,-0.0069869,0.75,-3.36842,-16.88312,-0.21,-0.16,0.07,0.47,0.56,98.86941
01-05-1967,0.06695091,1.25,1.46444,-22.41379,-0.34,-0.14,0.23,0.82,0.92,99.11089
01-06-1967,0.062398327,1.48,4.16667,-21.33333,-0.44,-0.09,0.51,1.05,1.06,99.40953
01-07-1967,0.083527493,0.95,3.2,-12.29167,0.42,0.93,1.23,1.44,1.38,99.728
01-08-1967,0.171605704,1.01,1.54143,-13.91129,0.37,0.93,1.25,1.43,1.39,100.0333
01-09-1967,0.231332734,0.88,1.341,-17.69088,0.43,0.97,1.25,1.4,1.31,100.2962
01-10-1967,0.240243744,0.92,8.96414,-14.76636,0.68,1.19,1.5,1.7,1.61,100.5042
01-11-1967,0.144091863,1.02,11.65049,-11.09023,0.6,1.12,1.47,1.64,1.61,100.6524
01-12-1967,0.171769335,0.73,17.04312,0.20161,0.46,0.98,1.21,1.26,1.2,100.7411
01-01-1968,0.125399645,0.53,20.4793,5.9322,0.4,0.64,0.82,0.93,0.92,100.765
01-02-1968,0.038804945,0.58,20.60738,9.21053,0.27,0.46,0.73,0.9,0.88,100.7531
01-03-1968,-0.00369045,0.57,25.49451,21.3615,0.12,0.28,0.56,0.74,0.72,100.7243
01-04-1968,0.051781003,0.26,22.44009,40.10417,-0.38,-0.27,-0.03,-0.04,-0.1,100.6986
01-05-1968,0.057025597,0.21,20.82474,57.22222,-0.45,-0.28,0.05,-0.06,-0.22,100.7013
01-06-1968,0.099201575,0.2,14.4,55.9322,-0.55,-0.43,-0.1,-0.24,-0.37,100.7336
01-07-1968,0.078378669,0.19,6.78295,26.12827,-0.71,-0.61,-0.39,-0.44,-0.54,100.7999
01-08-1968,0.038310932,0.33,2.8463,19.20375,-0.94,-0.8,-0.6,-0.54,-0.61,100.9089
01-09-1968,0.057300908,0.27,3.21361,17.42081,-0.59,-0.53,-0.31,-0.28,-0.29,101.0588
01-10-1968,0.085093038,0.23,1.82815,17.32456,-0.56,-0.5,-0.33,-0.35,-0.32,101.2044
01-11-1968,0.137491906,0.25,-1.21739,15.22199,-0.37,-0.22,0.04,-0.05,-0.01,101.2952
01-12-1968,0.11752361,0.07,5.78947,19.91952,-0.06,0.04,0.29,0.21,0.12,101.3133
01-01-1969,0.073232323,-0.1,9.58409,22.8,-0.16,-0.02,0.03,-0.06,-0.27,101.2646
01-02-1969,0.1184573,0.07,11.33094,22.89157,-0.49,-0.31,-0.13,-0.21,-0.36,101.1573
01-03-1969,0.11460321,0.28,10.33275,16.44101,-0.77,-0.63,-0.41,-0.34,-0.46,100.9993
01-04-1969,0.058848124,0.06,9.96441,13.56877,-1.3,-1.28,-1.12,-1.08,-1.2,100.7876
01-05-1969,0.068764688,0.28,7.84983,6.71378,-2.63,-2.52,-2.05,-1.94,-2.15,100.5285
01-06-1969,-0.013532338,0.13,14.86014,16.66667,-2.46,-2.15,-1.57,-1.87,-2.04,100.2623
01-07-1969,-0.055732802,-0.28,21.96007,31.82674,-1.61,-1.37,-0.84,-1.43,-1.72,100.0216
01-08-1969,-0.040057079,-0.29,23.43173,37.13163,-2.21,-2,-1.47,-1.99,-2.32,99.81859
01-09-1969,-0.067028628,0.07,30.40293,36.60886,-2.06,-1.83,-1.24,-1.49,-1.9,99.63612
01-10-1969,-0.079768786,0.1,27.82765,30.84112,-2,-1.71,-1.17,-1.3,-1.71,99.43741
01-11-1969,-0.087191651,-0.1,25.70423,32.84404,-1.61,-1.23,-0.83,-1.19,-1.58,99.20058
01-12-1969,-0.144507042,-0.17,26.36816,31.20805,-1.15,-1.07,-0.69,-0.9,-1.2,98.91852
01-01-1970,-0.114607843,-0.08,29.0429,28.1759,-1.11,-1.2,-0.86,-0.79,-1.16,98.60237
01-02-1970,-0.141280788,0.11,16.80129,16.50327,-1.85,-1.76,-1.36,-1.12,-1.71,98.29003
01-03-1970,-0.107250755,0.44,12.22222,10.13289,-1.13,-1.18,-0.73,-0.49,-0.62,98.02012
01-04-1970,-0.151530109,0.88,17.79935,6.54664,-1.59,-1.5,-1.03,-0.58,-0.7,97.80991
01-05-1970,-0.272848948,1.07,24.84177,13.24503,-1.1,-0.92,-0.11,0.11,0.05,97.68262
01-06-1970,-0.237542869,1.16,19.6347,3.72671,-0.92,-0.74,0.01,0.31,0.3,97.63225
01-07-1970,-0.20050681,1.01,11.45833,-7.85714,-0.76,-0.7,-0.01,0.48,0.35,97.63553
01-08-1970,-0.172648121,1.12,12.55605,-8.16619,-0.2,-0.06,0.36,0.95,0.91,97.6856
01-09-1970,-0.126230029,1.27,4.21348,-13.68124,-0.17,0.17,0.46,1.03,1.13,97.79649
01-10-1970,-0.116729481,1.42,2.80899,-15.57143,-0.29,0.01,0.24,0.93,1.14,97.99722
01-11-1970,-0.123999584,1.56,-3.78151,-27.07182,-0.32,-0.18,-0.09,0.87,1.25,98.32253
01-12-1970,-0.011634288,1.52,-16.27297,-37.72379,-0.03,-0.01,0.15,1.1,1.54,98.76071
01-01-1971,0.035212047,1.8,-19.43734,-43.58323,0.3,0.33,0.27,1.59,1.94,99.22958
01-02-1971,0.114157871,2.41,-15.49101,-48.10659,-0.02,0.06,0.22,1.9,2.45,99.63957
01-03-1971,0.123519459,2.32,-18.95332,-49.01961,-0.33,-0.21,-0.02,1.3,1.99,99.93961
01-04-1971,0.198371146,1.97,-20.46703,-40.70661,-0.29,-0.12,0.14,1.49,1.67,100.1297
01-05-1971,0.335787536,2.25,-18.88466,-39.47368,-0.49,-0.27,0.38,1.62,1.73,100.2241
01-06-1971,0.319222119,1.77,-17.43003,-28.89222,-0.16,0.06,0.73,1.62,1.61,100.2531
01-07-1971,0.307448495,1.33,-10.28037,-16.27907,0.09,0.32,0.74,1.55,1.43,100.2563
01-08-1971,0.247946612,1.64,-12.2178,-22.93292,-0.62,-0.34,0.23,0.98,1.01,100.2748
01-09-1971,0.203681279,1.45,-16.98113,-23.36601,-0.86,-0.58,-0.11,0.61,0.62,100.3509
01-10-1971,0.153135001,1.47,-18.71585,-24.53469,-0.74,-0.6,-0.29,0.72,0.72,100.5165
01-11-1971,0.100854295,1.59,-15.57496,-20.07576,-0.69,-0.53,-0.22,0.89,0.92,100.7838
01-12-1971,0.101277068,1.92,-7.05329,-17.65914,-0.13,0.09,0.51,1.6,1.83,101.135
01-01-1972,0.104931009,2.57,-5.71429,-23.87387,-0.12,0.16,0.73,2.05,2.4,101.5017
01-02-1972,0.083307589,2.88,-0.32733,-13.51351,-0.09,0.34,0.98,2.4,2.79,101.8242
01-03-1972,0.081325301,2.34,5.93368,10.35503,-0.1,0.29,0.83,2.03,2.23,102.069
01-04-1972,0.05631068,2.48,6.90846,-3.88601,-0.46,0.06,0.8,2,2.03,102.2454
01-05-1972,0.06003937,2.44,-4.21875,-10.86957,-0.58,-0.15,0.38,1.59,1.86,102.377
01-06-1972,0.083032491,2.2,-6.00924,-17.68421,-0.55,-0.11,0.46,1.44,1.64,102.4938
01-07-1972,0.082828283,2.13,-9.07738,-26.2963,-0.57,-0.05,0.45,1.45,1.59,102.6302
01-08-1972,0.141505553,2.19,-6.65658,-18.62348,-0.78,-0.25,0.16,1.19,1.39,102.8066
01-09-1972,0.100603622,1.89,5.84416,-0.63966,-0.21,0.26,0.7,1.43,1.72,103.0039
01-10-1972,0.126528934,1.74,8.90756,6.27803,-0.3,0.09,0.44,1.1,1.4,103.1884
01-11-1972,0.240569088,1.5,8.44828,13.27014,-0.28,0.03,0.23,1.07,1.23,103.3351
01-12-1972,0.184834123,1.29,7.08263,26.43392,-0.26,-0.03,0.19,0.83,1.03,103.4131
01-01-1973,0.146176186,1.05,8.58586,60.05917,-0.53,-0.32,-0.06,0.39,0.51,103.4007
01-02-1973,0.085551331,1.04,8.70279,75,-0.98,-0.75,-0.35,0.06,0.09,103.29
01-03-1973,0.04363974,0.62,10.37891,63.27078,-1,-0.58,-0.19,-0.24,-0.33,103.076
01-04-1973,0.013786765,0.41,7.75444,68.73315,-0.86,-0.6,-0.28,-0.46,-0.46,102.7707
01-05-1973,-0.004642526,0.49,11.41925,72.35772,-1.48,-1.22,-0.92,-1.02,-0.97,102.4103
01-06-1973,-0.02962963,-0.29,13.27869,83.88747,-1.3,-1.26,-1.19,-1.8,-1.59,102.0409
01-07-1973,-0.013059701,-0.88,16.20295,101.25628,-2.39,-2.28,-2.04,-3.1,-3.3,101.7027
01-08-1973,-0.064864865,-1.27,19.93517,115.67164,-1.83,-1.85,-1.63,-2.82,-3.05,101.4279
01-09-1973,-0.034734918,-1.2,8.74233,77.897,-2.49,-2.33,-2.41,-3.66,-3.62,101.2191
01-10-1973,0.001824818,-0.43,4.93827,52.32068,-2.79,-2.69,-2.57,-3.2,-3.17,101.0524
01-11-1973,-0.113814075,-1.1,6.99523,63.80753,-2.2,-2.07,-2.54,-3.19,-3.38,100.8836
01-12-1973,-0.193361702,-0.71,6.29921,46.9428,-2.5,-2.39,-2.61,-3.08,-3.14,100.6936
01-01-1974,-0.188260135,-0.78,8.21705,43.62292,-1.88,-2,-2.21,-2.68,-2.64,100.4889
01-02-1974,-0.181698774,-0.16,5.13595,27.14286,-1.85,-2.01,-2.08,-2.14,-2,100.2473
01-03-1974,-0.133096085,-0.75,7.01493,30.70608,-1.39,-1.52,-1.58,-2.02,-2.13,99.94865
01-04-1974,-0.161740707,-0.82,12.44378,33.06709,-2.18,-2.19,-1.87,-2.57,-2.98,99.57277
01-05-1974,-0.163526119,-0.65,10.98097,29.40252,-3.08,-2.91,-2.48,-3.09,-3.69,99.12859
01-06-1974,-0.143225191,-0.36,9.11722,9.87483,-4.03,-3.81,-3.19,-3.76,-4.32,98.63042
01-07-1974,-0.250378072,0.26,9.71831,-5.74282,-5.37,-4.98,-4.08,-4.5,-5.07,98.09418
01-08-1974,-0.267533719,-0.92,8.37838,3.34487,-3.05,-2.9,-2.61,-3.34,-3.93,97.53629
01-09-1974,-0.354924242,-0.02,13.5402,-2.77443,-3.28,-2.81,-2.43,-2.93,-3.27,96.96677
01-10-1974,-0.367577414,0.44,16.32353,3.3241,-2.6,-2.32,-2.01,-2.09,-2.16,96.43755
01-11-1974,-0.296666667,0.21,14.56166,-4.5977,-1.98,-1.93,-1.74,-1.72,-1.72,95.9939
01-12-1974,-0.292361258,0.28,10.22222,-4.02685,-1.38,-1.42,-1.12,-1.12,-0.99,95.69759
01-01-1975,-0.245031735,1.24,7.30659,-19.43372,-0.87,-0.77,-0.35,0.22,0.32,95.60821
01-02-1975,-0.142857143,1.89,6.17816,-22.75281,-0.74,-0.62,-0.2,0.93,1.21,95.71564
01-03-1975,-0.140188834,2.24,7.81032,-31.03015,-0.05,0.08,0.66,1.86,2.29,95.98825
01-04-1975,-0.083711875,2.62,9.33333,-32.65306,0.12,0.51,1.39,2.47,2.71,96.39314
01-05-1975,0.004795361,2.83,6.72823,-36.452,0.01,0.37,1.16,2.49,2.83,96.86827
01-06-1975,0.029067825,2.52,4.24403,-32.40506,-0.21,0.06,0.76,1.98,2.33,97.36998
01-07-1975,0.166183331,1.93,3.20924,-18.80795,0.03,0.4,1.03,1.84,1.98,97.8675
01-08-1975,0.127318164,1.96,4.2394,-28.125,0.3,0.8,1.58,2.2,2.27,98.33427
01-09-1975,0.242953611,2.01,4.59627,-20.34739,0.18,0.68,1.53,2.14,2.2,98.76667
01-10-1975,0.275489631,2.18,3.16056,-20.10724,0.14,0.43,1.14,2.16,2.32,99.17818
01-11-1975,0.255505994,2.57,4.40986,-26.63989,0.26,0.58,1.32,2.64,2.89,99.58224
01-12-1975,0.322498882,2.56,7.93011,-23.91608,0.24,0.65,1.4,2.56,2.8,99.98379
01-01-1976,0.334895259,2.87,3.33778,-22.20447,0,0.27,0.97,2.62,2.9,100.3665
01-02-1976,0.255930087,2.91,5.54804,-11.27273,0.11,0.43,1.15,2.69,3.04,100.6853
01-03-1976,0.206731917,2.73,0.25873,-8.92532,0.16,0.6,1.37,2.65,2.9,100.9046
01-04-1976,0.202785647,2.7,-7.68293,-13.36898,0.04,0.36,1.08,2.41,2.72,101.0297
01-05-1976,0.123196448,2.7,-2.34858,-0.57361,-0.09,0.33,1.13,2.32,2.62,101.0765
01-06-1976,0.101731602,2.45,0,1.31086,-0.07,0.29,1.04,2.13,2.38,101.0718
01-07-1976,0.126608282,2.6,-2.48756,-14.68189,-0.08,0.22,0.9,2.19,2.53,101.0402
01-08-1976,0.205226928,2.63,-6.9378,-20.18634,-0.15,0.11,0.7,2.01,2.47,100.9974
01-09-1976,0.246013937,2.51,-9.50119,-20.87227,-0.17,0.05,0.59,1.88,2.34,100.9708
01-10-1976,0.150502428,2.49,-8.94608,-17.44966,-0.1,0.04,0.49,1.74,2.4,100.9832
01-11-1976,0.123570556,2.54,-8.9441,-13.32117,-0.2,-0.07,0.35,1.57,2.35,101.0561
01-12-1976,0.180383315,2.52,-14.3213,-20.03676,-0.3,-0.14,0.22,1.43,2.19,101.1859
01-01-1977,0.071649804,2.59,-6.97674,-5.13347,0.01,0.22,0.65,1.94,2.57,101.347
01-02-1977,0.003976143,2.72,-5.25641,-4.30328,-0.01,0.22,0.78,2.14,2.7,101.5197
01-03-1977,-0.004945598,2.86,-3.74194,-8,-0.09,0.19,0.8,2.23,2.76,101.6765
01-04-1977,-0.027968597,2.83,-2.37781,-6.58436,-0.19,0.07,0.72,2.07,2.65,101.7841
01-05-1977,-0.024110672,2.5,-5.56962,-4.61538,-0.39,-0.15,0.5,1.59,2.11,101.8348
01-06-1977,-0.024656189,2.26,-6.99746,-7.20887,-0.37,-0.18,0.4,1.36,1.88,101.8275
01-07-1977,-0.038387716,2.14,-6.7602,-0.76482,-0.23,-0.02,0.53,1.44,1.92,101.773
01-08-1977,-0.053727009,1.91,-4.62725,6.80934,-0.41,-0.07,0.47,1.13,1.5,101.69
01-09-1977,-0.087867299,1.53,-3.80577,14.37008,-0.33,-0.1,0.37,0.89,1.19,101.605
01-10-1977,-0.080078508,1.36,1.21131,25.20325,-0.31,-0.04,0.49,0.85,1.05,101.5327
01-11-1977,-0.068379447,1.48,3.54707,28.42105,-0.41,-0.1,0.47,0.85,1.09,101.473
01-12-1977,-0.10391595,1.62,11.48256,39.54023,-0.49,-0.16,0.38,0.9,1.11,101.4329
01-01-1978,-0.130539499,1.52,10.41667,39.39394,-0.26,0,0.54,1.03,1.22,101.4244
01-02-1978,-0.119009901,1.58,8.66035,38.11563,-0.33,-0.04,0.53,1.03,1.23,101.4572
01-03-1978,-0.117097416,1.75,7.64075,36.73913,-0.5,-0.16,0.51,1.05,1.23,101.5653
01-04-1978,-0.064008077,1.86,10.41949,38.54626,-0.6,-0.16,0.59,1.12,1.29,101.7211
01-05-1978,-0.013669502,1.94,11.79625,29.23387,-0.95,-0.34,0.46,0.81,0.98,101.8782
01-06-1978,-0.016416558,1.73,15.73187,34.06375,-0.87,-0.37,0.48,0.74,0.84,101.9971
01-07-1978,-0.03003992,1.63,18.33105,35.06744,-0.8,-0.37,0.59,0.74,0.84,102.0546
01-08-1978,0.062915601,1.33,13.61186,28.96175,-0.96,-0.67,0.25,0.28,0.35,102.0404
01-09-1978,0.079704874,0.57,14.73397,35.11188,-0.6,-0.46,0.18,-0.04,-0.05,101.9578
01-10-1978,0.073181139,0.65,14.49468,29.70779,-0.97,-0.41,0.15,-0.37,-0.34,101.8132
01-11-1978,0.004560882,0.17,16.07378,41.63934,-1.12,-0.52,0.24,-0.94,-0.97,101.6275
01-12-1978,0.024408442,-0.07,17.20991,49.58814,-0.95,-0.67,0.3,-0.92,-0.99,101.4362
01-01-1979,0.104819945,-0.25,14.71698,45.18634,-0.72,-0.6,0.36,-0.86,-0.96,101.2677
01-02-1979,0.103955945,-0.22,12.95143,44.49612,-0.74,-0.65,0.16,-0.95,-0.98,101.1063
01-03-1979,0.126998424,-0.36,13.5741,50.71542,-0.61,-0.62,0.17,-0.88,-0.96,100.9234
